,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10590,33896791,ESPACIOSO Y TRANQUILO DEPARTAMENTO,2558795,Nuria,,Villa Crespo,-34.59638,-58.42746,Entire home/apt,2886,30,2,2019-05-11,0.08,1,364,0,
10591,33897516,Excelente y cálido departamento en Recoleta,34817561,Alejandra,,Recoleta,-34.59804,-58.40261,Entire home/apt,2460,2,17,2019-08-01,0.66,1,204,0,
10592,33899671,Departamento a estrenar en Belgrano lll,15900304,Gabriel,,Colegiales,-34.57058,-58.44818,Entire home/apt,2639,1,18,2020-11-21,0.66,52,353,6,
10593,33900357,Ap super luminoso y cómodo en Córdoba y Ecuador,10505008,Clarice,,Balvanera,-34.59846,-58.40672,Entire home/apt,5291,3,0,,,1,90,0,
10594,33903036,CÓMODO DEPARTAMENTO EN EL CORAZÓN DE BUENOS AIRES,80292420,Jorge,,Villa Crespo,-34.60236,-58.45105,Entire home/apt,2499,7,0,,,1,260,0,
10595,33903126,Departamento entero en Colegiales,159100452,Rocío,,Colegiales,-34.57787,-58.45067,Entire home/apt,3271,15,4,2019-07-22,0.15,1,365,0,
10596,33903912,Spacious One BR in Palermo w/balcony & Pool,1875949,Diego,,Palermo,-34.58137,-58.4324,Entire home/apt,6542,3,36,2020-06-07,1.32,68,179,7,
10597,33905761,Depto de estilo 2 ambientes,256040557,Alejandra,,Almagro,-34.60043,-58.41502,Entire home/apt,3559,240,0,,,1,363,0,
10598,33905808,Classy Suite. Room in the heart of Palermo. Nº3,256039628,Gabriel,,Villa Crespo,-34.59621,-58.42823,Private room,2500,1,3,2019-06-30,0.11,7,362,0,
10599,33909081,Estudio a estrenar en Belgrano lll,15900304,Gabriel,,Colegiales,-34.56866,-58.44827,Entire home/apt,2707,1,11,2019-07-21,0.47,52,364,2,
10600,33909117,Cozy Suite Room in the middle of Palermo. Nº2,256039628,Gabriel,,Palermo,-34.59599,-58.4265,Private room,2500,1,6,2019-12-01,0.22,7,352,0,
10601,33910275,Studio con pileta en el corazón de Caballito,116239463,Pablo,,Caballito,-34.62118,-58.43596,Entire home/apt,1250,30,4,2020-02-17,0.15,1,268,0,
10602,33910285,Luxury Design Duplex in hype hood.,1108682,Leon,,Nuñez,-34.53607,-58.4686,Entire home/apt,5676,3,3,2020-02-26,0.16,1,364,0,
10603,33910579,Conéctate con la naturaleza .,256076039,Maira,,Saavedra,-34.54379,-58.47751,Private room,960,4,0,,,1,363,0,
10604,33910592,Casa familiar,255731333,Mary,,Barracas,-34.63872,-58.38967,Private room,8000,1,0,,,2,365,0,
10605,33910644,Cuarto y living privados. Excelente ubicación.,107078884,Julian,,Almagro,-34.60058,-58.41497,Private room,1154,1,1,2019-07-20,0.04,1,90,0,
10606,33910798,Hermoso departamento barrio Residencial y luminoso,256078162,Silvina,,Villa Pueyrredon,-34.57314,-58.50778,Entire home/apt,960,3,0,,,1,83,0,
10607,33911045,"Shared Dormitory, Women only, 6 Beds",87197898,Alberto,,Recoleta,-34.59487,-58.39603,Hotel room,962,3,0,,,46,365,0,
10608,33911316,"Una casa familiar, se sentirá como en su casa, ven",255731333,Mary,,Barracas,-34.63998,-58.38779,Private room,8000,1,0,,,2,365,0,
10609,33912146,Departamento  triplex en Palermo hollywood,256090620,Gustavo,,Palermo,-34.5815,-58.43673,Private room,1000,2,3,2019-05-13,0.11,1,365,0,
10610,33912452,"Central and quiet, center of Buenos Aires",256086594,Gaston,,Balvanera,-34.60719,-58.3972,Entire home/apt,2000,3,2,2019-08-04,0.08,1,30,0,
10611,33912472,Cuarto en la casa feliz de Belgrano,10885056,Johanna,,Palermo,-34.56609,-58.44008,Private room,11544,1,9,2019-07-31,0.33,1,149,2,
10612,33914920,Bright & Modern Private APT Heart of Palermo SOHO,56909224,Sebastian,,Palermo,-34.58989,-58.43163,Entire home/apt,5978,2,5,2020-01-06,0.25,1,179,0,
10613,33915261,Habitación en depto compartido en Flores,246012746,Pablo,,Flores,-34.63126,-58.4586,Private room,960,7,0,,,1,180,0,
10614,33924213,Premium studio in Palermo!! pool+gym+laundry+barbe,71326452,María Lucía,,Palermo,-34.57795,-58.4381,Entire home/apt,1745,4,6,2021-02-27,0.23,2,326,2,
10615,33925594,cómodo departamento en recoleta próximo a facultad,256188051,Daniel,,Recoleta,-34.59582,-58.39801,Entire home/apt,2900,2,2,2020-02-04,0.08,1,150,0,
10616,33926505,"Espectacular 2 dormitorios, parrilla propia#",251561536,Mariana,,Palermo,-34.5744,-58.43708,Entire home/apt,5964,3,4,2020-03-22,0.15,11,365,0,
